sentence_id,text,language,ground_truth,predicted,gt_entities,pred_entities
1,"प्रधानमन्त्री केपी शर्मा ओलीले सिंहदरबारमा नौलो  आर्थिक नीति सार्वजनिक गर्याको  छ।
",Achhami Dialect,"{""entities"": [{""text"": ""केपी शर्मा ओली"", ""type"": ""PER""}, {""text"": ""सिंहदरबार"", ""type"": ""LOC""}]}","{""entities"": [{""text"": ""केपी शर्मा ओली"", ""type"": ""PER""}, {""text"": ""सिंहदरबार"", ""type"": ""LOC""}]}","{'entities': [{'text': 'केपी शर्मा ओली', 'type': 'PER'}, {'text': 'सिंहदरबार', 'type': 'LOC'}]}","{'entities': [{'text': 'केपी शर्मा ओली', 'type': 'PER'}, {'text': 'सिंहदरबार', 'type': 'LOC'}]}"
2,"नेपाल सरकारले आर्थिक वर्ष २०२६/२७ का लागि बजेट प्रस्तुत गर्याको  छ।
",Achhami Dialect,"{""entities"": [{""text"": ""नेपाल"", ""type"": ""LOC""}, {""text"": ""२०२६/२७"", ""type"": ""DATE""}]}","{""entities"": [{""text"": ""नेपाल"", ""type"": ""LOC""}, {""text"": ""२०२६/२७"", ""type"": ""DATE""}]}","{'entities': [{'text': 'नेपाल', 'type': 'LOC'}, {'text': '२०२६/२७', 'type': 'DATE'}]}","{'entities': [{'text': 'नेपाल', 'type': 'LOC'}, {'text': '२०२६/२७', 'type': 'DATE'}]}"
3,"काठमाडौँ महानगरपालिकाले दरबारमार्ग नि  सडक बनाउन्या  काम  सुरु गर्याको  छ।
",Achhami Dialect,"{""entities"": [{""text"": ""काठमाडौँ महानगरपालिका"", ""type"": ""ORG""}, {""text"": ""दरबारमार्ग"", ""type"": ""LOC""}]}","{""entities"": [{""text"": ""काठमाडौँ महानगरपालिका"", ""type"": ""ORG""}, {""text"": ""दरबारमार्ग"", ""type"": ""LOC""}]}","{'entities': [{'text': 'काठमाडौँ महानगरपालिका', 'type': 'ORG'}, {'text': 'दरबारमार्ग', 'type': 'LOC'}]}","{'entities': [{'text': 'काठमाडौँ महानगरपालिका', 'type': 'ORG'}, {'text': 'दरबारमार्ग', 'type': 'LOC'}]}"
4,"नेपाली कांग्रेसले बुटवलमा आयोजना गर्याको कार्यक्रममा नौलो घोषणा पत्र सार्वजनिक गर्याको  छ।
",Achhami Dialect,"{""entities"": [{""text"": ""नेपाली कांग्रेस"", ""type"": ""ORG""}, {""text"": ""बुटवल"", ""type"": ""LOC""}]}","{""entities"": [{""text"": ""नेपाली कांग्रेस"", ""type"": ""ORG""}, {""text"": ""बुटवल"", ""type"": ""LOC""}]}","{'entities': [{'text': 'नेपाली कांग्रेस', 'type': 'ORG'}, {'text': 'बुटवल', 'type': 'LOC'}]}","{'entities': [{'text': 'नेपाली कांग्रेस', 'type': 'ORG'}, {'text': 'बुटवल', 'type': 'LOC'}]}"
5,"गृहमन्त्री रवि लामिछानेले चितवनमा सुरक्षा कसो छ भनि बुझ्याको छ  ।
",Achhami Dialect,"{""entities"": [{""text"": ""रवि लामिछाने"", ""type"": ""PER""}, {""text"": ""चितवन"", ""type"": ""LOC""}]}","{""entities"": [{""text"": ""रवि लामिछाने"", ""type"": ""PER""}, {""text"": ""चितवन"", ""type"": ""LOC""}]}","{'entities': [{'text': 'रवि लामिछाने', 'type': 'PER'}, {'text': 'चितवन', 'type': 'LOC'}]}","{'entities': [{'text': 'रवि लामिछाने', 'type': 'PER'}, {'text': 'चितवन', 'type': 'LOC'}]}"
6,विपक्षी दलले सरकारका फैसलामी चित्त बुझयेन ।,Achhami Dialect,"{""entities"": [{""text"": ""नेकपा"", ""type"": ""ORG""}]}","{""entities"": []}","{'entities': [{'text': 'नेकपा', 'type': 'ORG'}]}",{'entities': []}
7,"सगरमाथा क्षेत्रमा पर्यटन निको बनाउन संस्कृति, पर्यटन तथा नागरिक उड्डयन मन्त्रालयले खास  योजना ल्याको छ।
",Achhami Dialect,"{""entities"": [{""text"": ""सगरमाथा"", ""type"": ""LOC""}, {""text"": ""पर्यटन तथा नागरिक उड्डयन मन्त्रालय"", ""type"": ""ORG""}]}","{""entities"": [{""text"": ""सगरमाथा"", ""type"": ""LOC""}, {""text"": ""संस्कृति, पर्यटन तथा नागरिक उड्डयन मन्त्रालय"", ""type"": ""ORG""}]}","{'entities': [{'text': 'सगरमाथा', 'type': 'LOC'}, {'text': 'पर्यटन तथा नागरिक उड्डयन मन्त्रालय', 'type': 'ORG'}]}","{'entities': [{'text': 'सगरमाथा', 'type': 'LOC'}, {'text': 'संस्कृति, पर्यटन तथा नागरिक उड्डयन मन्त्रालय', 'type': 'ORG'}]}"
8," त्रिभुवन अन्तर्राष्ट्रिय विमानस्थलमा हिमालय एयरलाइन्सको जहाज बस्न्या गर्याको  छ।
",Achhami Dialect,"{""entities"": [{""text"": ""त्रिभुवन अन्तर्राष्ट्रिय विमानस्थल"", ""type"": ""LOC""}, {""text"": ""हिमालय एयरलाइन्स"", ""type"": ""ORG""}]}","{""entities"": [{""text"": ""त्रिभुवन अन्तर्राष्ट्रिय विमानस्थल"", ""type"": ""LOC""}, {""text"": ""हिमालय एयरलाइन्स"", ""type"": ""ORG""}]}","{'entities': [{'text': 'त्रिभुवन अन्तर्राष्ट्रिय विमानस्थल', 'type': 'LOC'}, {'text': 'हिमालय एयरलाइन्स', 'type': 'ORG'}]}","{'entities': [{'text': 'त्रिभुवन अन्तर्राष्ट्रिय विमानस्थल', 'type': 'LOC'}, {'text': 'हिमालय एयरलाइन्स', 'type': 'ORG'}]}"
9,"लुम्बिनी प्रदेश सरकारले बर्दियामा स्वास्थ्य शिविर सुरु गर्याको  छ।
",Achhami Dialect,"{""entities"": [{""text"": ""लुम्बिनी प्रदेश"", ""type"": ""LOC""}, {""text"": ""बर्दिया"", ""type"": ""LOC""}]}","{""entities"": [{""text"": ""लुम्बिनी प्रदेश"", ""type"": ""ORG""}, {""text"": ""बर्दिया"", ""type"": ""LOC""}]}","{'entities': [{'text': 'लुम्बिनी प्रदेश', 'type': 'LOC'}, {'text': 'बर्दिया', 'type': 'LOC'}]}","{'entities': [{'text': 'लुम्बिनी प्रदेश', 'type': 'ORG'}, {'text': 'बर्दिया', 'type': 'LOC'}]}"
10,"
नेपाल राष्ट्र बैंकले मौद्रिक नीति २०२६ सार्वजनिक गर्याको  छ।
",Achhami Dialect,"{""entities"": [{""text"": ""नेपाल राष्ट्र बैंक"", ""type"": ""ORG""}, {""text"": ""मौद्रिक नीति २०२६"", ""type"": ""MISC""}]}","{""entities"": [{""text"": ""नेपाल राष्ट्र बैंक"", ""type"": ""ORG""}, {""text"": ""२०२६"", ""type"": ""DATE""}]}","{'entities': [{'text': 'नेपाल राष्ट्र बैंक', 'type': 'ORG'}, {'text': 'मौद्रिक नीति २०२६', 'type': 'MISC'}]}","{'entities': [{'text': 'नेपाल राष्ट्र बैंक', 'type': 'ORG'}, {'text': '२०२६', 'type': 'DATE'}]}"
11,"पोखरा रंगशालामा भयाको  साफ महिला च्याम्पियनसिप २०२५ मा भारतले नेपाललाई हरायाको छ।
",Achhami Dialect,"{""entities"": [{""text"": ""पोखरा"", ""type"": ""LOC""}, {""text"": ""साफ महिला च्याम्पियनसिप २०२५"", ""type"": ""MISC""}, {""text"": ""भारत"", ""type"": ""LOC""}, {""text"": ""नेपाल"", ""type"": ""LOC""}]}","{""entities"": [{""text"": ""पोखरा"", ""type"": ""LOC""}, {""text"": ""साफ महिला च्याम्पियनसिप २०२५"", ""type"": ""MISC""}, {""text"": ""भारत"", ""type"": ""LOC""}, {""text"": ""नेपाल"", ""type"": ""LOC""}]}","{'entities': [{'text': 'पोखरा', 'type': 'LOC'}, {'text': 'साफ महिला च्याम्पियनसिप २०२५', 'type': 'MISC'}, {'text': 'भारत', 'type': 'LOC'}, {'text': 'नेपाल', 'type': 'LOC'}]}","{'entities': [{'text': 'पोखरा', 'type': 'LOC'}, {'text': 'साफ महिला च्याम्पियनसिप २०२५', 'type': 'MISC'}, {'text': 'भारत', 'type': 'LOC'}, {'text': 'नेपाल', 'type': 'LOC'}]}"
12,"राष्ट्रपति रामचन्द्र पौडेलले शीतल निवासमा नौलो  राजदूतलाई नियुक्ति पत्र दिन्या गर्याको छ।
",Achhami Dialect,"{""entities"": [{""text"": ""रामचन्द्र पौडेल"", ""type"": ""PER""}, {""text"": ""शीतल निवास"", ""type"": ""LOC""}]}","{""entities"": [{""text"": ""रामचन्द्र पौडेल"", ""type"": ""PER""}, {""text"": ""शीतल निवास"", ""type"": ""LOC""}]}","{'entities': [{'text': 'रामचन्द्र पौडेल', 'type': 'PER'}, {'text': 'शीतल निवास', 'type': 'LOC'}]}","{'entities': [{'text': 'रामचन्द्र पौडेल', 'type': 'PER'}, {'text': 'शीतल निवास', 'type': 'LOC'}]}"
13,"सर्वोच्च अदालतले काठमाडौँमा ऐतिहासिक फैसला सुनायाको छ।
",Achhami Dialect,"{""entities"": [{""text"": ""सर्वोच्च अदालत"", ""type"": ""ORG""}, {""text"": ""काठमाडौँ"", ""type"": ""LOC""}]}","{""entities"": [{""text"": ""सर्वोच्च अदालत"", ""type"": ""ORG""}, {""text"": ""काठमाडौँ"", ""type"": ""LOC""}]}","{'entities': [{'text': 'सर्वोच्च अदालत', 'type': 'ORG'}, {'text': 'काठमाडौँ', 'type': 'LOC'}]}","{'entities': [{'text': 'सर्वोच्च अदालत', 'type': 'ORG'}, {'text': 'काठमाडौँ', 'type': 'LOC'}]}"
14,"एमाले अध्यक्ष केपी शर्मा ओलीले झापामा पार्टी सभा सम्बोधन गर्याको  छ।
",Achhami Dialect,"{""entities"": [{""text"": ""केपी शर्मा ओली"", ""type"": ""PER""}, {""text"": ""झापा"", ""type"": ""LOC""}, {""text"": ""एमाले"", ""type"": ""ORG""}]}","{""entities"": [{""text"": ""केपी शर्मा ओली"", ""type"": ""PER""}, {""text"": ""झापा"", ""type"": ""LOC""}, {""text"": ""एमाले"", ""type"": ""ORG""}]}","{'entities': [{'text': 'केपी शर्मा ओली', 'type': 'PER'}, {'text': 'झापा', 'type': 'LOC'}, {'text': 'एमाले', 'type': 'ORG'}]}","{'entities': [{'text': 'केपी शर्मा ओली', 'type': 'PER'}, {'text': 'झापा', 'type': 'LOC'}, {'text': 'एमाले', 'type': 'ORG'}]}"
15,अञ्जन विष्टले नौलो  राष्ट्रिय कीर्तिमान कायम  गर्याको छ।,Achhami Dialect,"{""entities"": [{""text"": ""अञ्जन विष्ट"", ""type"": ""PER""}]}","{""entities"": [{""text"": ""अञ्जन विष्ट"", ""type"": ""PER""}]}","{'entities': [{'text': 'अञ्जन विष्ट', 'type': 'PER'}]}","{'entities': [{'text': 'अञ्जन विष्ट', 'type': 'PER'}]}"
16,"माओवादी केन्द्रले रोल्पामा विशेष कार्यक्रम गर्न्या भयाको छ।
",Achhami Dialect,"{""entities"": [{""text"": ""माओवादी केन्द्र"", ""type"": ""ORG""}, {""text"": ""रोल्पा"", ""type"": ""LOC""}]}","{""entities"": [{""text"": ""माओवादी केन्द्र"", ""type"": ""ORG""}, {""text"": ""रोल्पा"", ""type"": ""LOC""}]}","{'entities': [{'text': 'माओवादी केन्द्र', 'type': 'ORG'}, {'text': 'रोल्पा', 'type': 'LOC'}]}","{'entities': [{'text': 'माओवादी केन्द्र', 'type': 'ORG'}, {'text': 'रोल्पा', 'type': 'LOC'}]}"
17,"नेपाल प्रहरीका महानिरीक्षक बसन्त कुँवरले ललितपुरमा निरीक्षण गर्या छ।
",Achhami Dialect,"{""entities"": [{""text"": ""नेपाल प्रहरी"", ""type"": ""ORG""}, {""text"": ""बसन्त कुँवर"", ""type"": ""PER""}, {""text"": ""ललितपुर"", ""type"": ""LOC""}]}","{""entities"": [{""text"": ""बसन्त कुँवर"", ""type"": ""PER""}, {""text"": ""ललितपुर"", ""type"": ""LOC""}]}","{'entities': [{'text': 'नेपाल प्रहरी', 'type': 'ORG'}, {'text': 'बसन्त कुँवर', 'type': 'PER'}, {'text': 'ललितपुर', 'type': 'LOC'}]}","{'entities': [{'text': 'बसन्त कुँवर', 'type': 'PER'}, {'text': 'ललितपुर', 'type': 'LOC'}]}"
18,"त्रिभुवन विश्वविद्यालयले कीर्तिपुरमा दीक्षान्त समारोह सकायाको छ।
",Achhami Dialect,"{""entities"": [{""text"": ""त्रिभुवन विश्वविद्यालय"", ""type"": ""ORG""}, {""text"": ""कीर्तिपुर"", ""type"": ""LOC""}]}","{""entities"": [{""text"": ""त्रिभुवन विश्वविद्यालय"", ""type"": ""ORG""}, {""text"": ""कीर्तिपुर"", ""type"": ""LOC""}]}","{'entities': [{'text': 'त्रिभुवन विश्वविद्यालय', 'type': 'ORG'}, {'text': 'कीर्तिपुर', 'type': 'LOC'}]}","{'entities': [{'text': 'त्रिभुवन विश्वविद्यालय', 'type': 'ORG'}, {'text': 'कीर्तिपुर', 'type': 'LOC'}]}"
19,"एशियन डेभलपमेन्ट बैंकले नेपालमा पूर्वाधार परियोजनामा लगानी बढायाको छ।
",Achhami Dialect,"{""entities"": [{""text"": ""एशियन डेभलपमेन्ट बैंक"", ""type"": ""ORG""}, {""text"": ""नेपाल"", ""type"": ""LOC""}]}","{""entities"": [{""text"": ""एशियन डेभलपमेन्ट बैंक"", ""type"": ""ORG""}, {""text"": ""नेपाल"", ""type"": ""LOC""}]}","{'entities': [{'text': 'एशियन डेभलपमेन्ट बैंक', 'type': 'ORG'}, {'text': 'नेपाल', 'type': 'LOC'}]}","{'entities': [{'text': 'एशियन डेभलपमेन्ट बैंक', 'type': 'ORG'}, {'text': 'नेपाल', 'type': 'LOC'}]}"
20,"बागमती प्रदेश सरकारले हेटौँडामा बजेट सार्वजनिक गर्याको छ।
",Achhami Dialect,"{""entities"": [{""text"": ""बागमती प्रदेश"", ""type"": ""LOC""}, {""text"": ""हेटौँडा"", ""type"": ""LOC""}]}","{""entities"": [{""text"": ""बागमती प्रदेश"", ""type"": ""ORG""}, {""text"": ""हेटौँडा"", ""type"": ""LOC""}]}","{'entities': [{'text': 'बागमती प्रदेश', 'type': 'LOC'}, {'text': 'हेटौँडा', 'type': 'LOC'}]}","{'entities': [{'text': 'बागमती प्रदेश', 'type': 'ORG'}, {'text': 'हेटौँडा', 'type': 'LOC'}]}"
21,"रमेश, तु  आज काठमाडौं जान्या  होइ ?",Achhami Dialect,"{""entities"": [{""text"": ""रमेश"", ""type"": ""PER""}, {""text"": ""काठमाडौं"", ""type"": ""LOC""}]}","{""entities"": [{""text"": ""रमेश"", ""type"": ""PER""}, {""text"": ""काठमाडौं"", ""type"": ""LOC""}]}","{'entities': [{'text': 'रमेश', 'type': 'PER'}, {'text': 'काठमाडौं', 'type': 'LOC'}]}","{'entities': [{'text': 'रमेश', 'type': 'PER'}, {'text': 'काठमाडौं', 'type': 'LOC'}]}"
22,"सीता, भोलि पोखरामा भेटुली  हाई ।",Achhami Dialect,"{""entities"": [{""text"": ""सीता"", ""type"": ""PER""}, {""text"": ""पोखरा"", ""type"": ""LOC""}]}","{""entities"": [{""text"": ""सीता"", ""type"": ""PER""}, {""text"": ""पोखरा"", ""type"": ""LOC""}]}","{'entities': [{'text': 'सीता', 'type': 'PER'}, {'text': 'पोखरा', 'type': 'LOC'}]}","{'entities': [{'text': 'सीता', 'type': 'PER'}, {'text': 'पोखरा', 'type': 'LOC'}]}"
23,अञ्जलीले दराजबाटी  सामान अर्डर  गर्यो ।,Achhami Dialect,"{""entities"": [{""text"": ""अञ्जली"", ""type"": ""PER""}, {""text"": ""दराज"", ""type"": ""ORG""}]}","{""entities"": []}","{'entities': [{'text': 'अञ्जली', 'type': 'PER'}, {'text': 'दराज', 'type': 'ORG'}]}",{'entities': []}
24,हामी शनिबार ललितपुर घुम्न जान्या हु ।,Achhami Dialect,"{""entities"": [{""text"": ""ललितपुर"", ""type"": ""LOC""}]}","{""entities"": [{""text"": ""शनिबार"", ""type"": ""DATE""}, {""text"": ""ललितपुर"", ""type"": ""LOC""}]}","{'entities': [{'text': 'ललितपुर', 'type': 'LOC'}]}","{'entities': [{'text': 'शनिबार', 'type': 'DATE'}, {'text': 'ललितपुर', 'type': 'LOC'}]}"
