Standard_Nepali (Source),Entities (Nepali)
प्रधानमन्त्री केपी शर्मा ओलीले सिंहदरबारमा नयाँ आर्थिक नीति सार्वजनिक गरेका छन्।,"केपी शर्मा ओली (PER), सिंहदरबार (LOC)"
नेपाल सरकारले आर्थिक वर्ष २०२६/२७ का लागि बजेट प्रस्तुत गरेको छ।,"नेपाल (LOC), २०२६/२७ (DATE)"
काठमाडौँ महानगरपालिकाले दरबारमार्ग क्षेत्रमा सडक विस्तार कार्य सुरु गरेको छ।,"काठमाडौँ महानगरपालिका (ORG), दरबारमार्ग (LOC)"
नेपाली कांग्रेसले बुटवलमा आयोजना गरेको कार्यक्रममा नयाँ घोषणा पत्र सार्वजनिक गरेको छ।,"नेपाली कांग्रेस (ORG), बुटवल (LOC)"
गृहमन्त्री रवि लामिछानेले चितवनमा सुरक्षा अवस्थाबारे निरीक्षण गरेका छन्।,"रवि लामिछाने (PER), चितवन (LOC)"
नेकपा (माओवादी) विपक्षी दलले सरकारको निर्णयप्रति आपत्ति जनाएको छ।,नेकपा (ORG)
"सगरमाथा क्षेत्रमा पर्यटन प्रवर्द्धन गर्न संस्कृति, पर्यटन तथा नागरिक उड्डयन मन्त्रालयले विशेष योजना ल्याएको छ।","सगरमाथा (LOC), संस्कृति, पर्यटन तथा नागरिक उड्डयन मन्त्रालय (ORG)"
त्रिभुवन अन्तर्राष्ट्रिय विमानस्थलमा हिमालय एयरलाइन्सको जहाज अवतरण गरेको छ।,"त्रिभुवन अन्तर्राष्ट्रिय विमानस्थल (LOC), हिमालय एयरलाइन्स (ORG)"
लुम्बिनी प्रदेश सरकारले बर्दियामा स्वास्थ्य शिविर सञ्चालन गरेको छ।,"लुम्बिनी प्रदेश (LOC), बर्दिया (LOC)"
नेपाल राष्ट्र बैंकले मौद्रिक नीति २०२६ सार्वजनिक गरेको छ।,"नेपाल राष्ट्र बैंक (ORG), मौद्रिक नीति २०२६ (MISC)"
पोखरा रंगशालामा आयोजित साफ महिला च्याम्पियनसिप २०२५ मा भारतले नेपाललाई पराजित गरेको छ।,"पोखरा (LOC), साफ महिला च्याम्पियनसिप २०२५ (MISC), भारत (LOC), नेपाल (LOC)"
राष्ट्रपति रामचन्द्र पौडेलले शीतल निवासमा नयाँ राजदूतलाई नियुक्ति पत्र प्रदान गरेका छन्।,"रामचन्द्र पौडेल (PER), शीतल निवास (LOC)"
सर्वोच्च अदालतले काठमाडौँमा ऐतिहासिक फैसला सुनाएको छ।,"सर्वोच्च अदालत (ORG), काठमाडौँ (LOC)"
एमाले अध्यक्ष केपी शर्मा ओलीले झापामा पार्टी सभा सम्बोधन गरेका छन्।,"केपी शर्मा ओली (PER), झापा (LOC), एमाले (ORG)"
अञ्जन विष्टले नयाँ राष्ट्रिय कीर्तिमान कायम गरेका छन्।,अञ्जन विष्ट (PER)
माओवादी केन्द्रले रोल्पामा विशेष कार्यक्रम आयोजना गरेको छ।,"माओवादी केन्द्र (ORG), रोल्पा (LOC)"
नेपाल प्रहरीका महानिरीक्षक बसन्त कुँवरले ललितपुरमा निरीक्षण गरेका छन्।,"नेपाल प्रहरी (ORG), बसन्त कुँवर (PER), ललितपुर (LOC)"
त्रिभुवन विश्वविद्यालयले कीर्तिपुरमा दीक्षान्त समारोह सम्पन्न गरेको छ।,"त्रिभुवन विश्वविद्यालय (ORG), कीर्तिपुर (LOC)"
एशियन डेभलपमेन्ट बैंकले नेपालमा पूर्वाधार परियोजनामा लगानी बढाएको छ।,"एशियन डेभलपमेन्ट बैंक (ORG), नेपाल (LOC)"
बागमती प्रदेश सरकारले हेटौँडामा बजेट सार्वजनिक गरेको छ।,"बागमती प्रदेश (LOC), हेटौँडा (LOC)"
"रमेश, तिमी आज काठमाडौं जान्छौ?","रमेश (PER), काठमाडौं (LOC)"
"सीता, भोलि पोखरामा भेटौंला है।","सीता(PER), पोखरा(LOC)"
अञ्जलीले दराजबाट सामान अर्डर गरिन्।,"अञ्जली (PER), दराज (ORG)"
हामी शनिबार ललितपुर घुम्न जाँदैछौं।,ललितपुर (LOC)
रोहन अहिले चितवनमा छ रे।,"रोहन (PER), चितवन (LOC)"
तिमीले नेपाल बैंकमा पैसा जम्मा गर्यौ?,नेपाल बैंक (ORG)
सन्दीप आज विराटनगरबाट फर्किँदैछन्।,"सन्दीप (PER), विराटनगर (LOC)"
म भोलि त्रिभुवन विश्वविद्यालय जानुपर्ने भयो।,त्रिभुवन विश्वविद्यालय (ORG) 
