Dialect_Text (Target),Entities (Nepali)
"प्रधानमन्त्री केपी शर्मा ओलीले सिंहदरबारमा नौलो  आर्थिक नीति सार्वजनिक गर्याको  छ।
","केपी शर्मा ओली (PER), सिंहदरबार (LOC)"
"नेपाल सरकारले आर्थिक वर्ष २०२६/२७ का लागि बजेट प्रस्तुत गर्याको  छ।
","नेपाल (LOC), २०२६/२७ (DATE)"
"काठमाडौँ महानगरपालिकाले दरबारमार्ग नि  सडक बनाउन्या  काम  सुरु गर्याको  छ।
","काठमाडौँ महानगरपालिका (ORG), दरबारमार्ग (LOC)"
"नेपाली कांग्रेसले बुटवलमा आयोजना गर्याको कार्यक्रममा नौलो घोषणा पत्र सार्वजनिक गर्याको  छ।
","नेपाली कांग्रेस (ORG), बुटवल (LOC)"
"गृहमन्त्री रवि लामिछानेले चितवनमा सुरक्षा कसो छ भनि बुझ्याको छ  ।
","रवि लामिछाने (PER), चितवन (LOC)"
विपक्षी दलले सरकारका फैसलामी चित्त बुझयेन ।,नेकपा (ORG)
"सगरमाथा क्षेत्रमा पर्यटन निको बनाउन संस्कृति, पर्यटन तथा नागरिक उड्डयन मन्त्रालयले खास  योजना ल्याको छ।
","सगरमाथा (LOC), संस्कृति, पर्यटन तथा नागरिक उड्डयन मन्त्रालय (ORG)"
" त्रिभुवन अन्तर्राष्ट्रिय विमानस्थलमा हिमालय एयरलाइन्सको जहाज बस्न्या गर्याको  छ।
","त्रिभुवन अन्तर्राष्ट्रिय विमानस्थल (LOC), हिमालय एयरलाइन्स (ORG)"
"लुम्बिनी प्रदेश सरकारले बर्दियामा स्वास्थ्य शिविर सुरु गर्याको  छ।
","लुम्बिनी प्रदेश (LOC), बर्दिया (LOC)"
"
नेपाल राष्ट्र बैंकले मौद्रिक नीति २०२६ सार्वजनिक गर्याको  छ।
","नेपाल राष्ट्र बैंक (ORG), मौद्रिक नीति २०२६ (MISC)"
"पोखरा रंगशालामा भयाको  साफ महिला च्याम्पियनसिप २०२५ मा भारतले नेपाललाई हरायाको छ।
","पोखरा (LOC), साफ महिला च्याम्पियनसिप २०२५ (MISC), भारत (LOC), नेपाल (LOC)"
"राष्ट्रपति रामचन्द्र पौडेलले शीतल निवासमा नौलो  राजदूतलाई नियुक्ति पत्र दिन्या गर्याको छ।
","रामचन्द्र पौडेल (PER), शीतल निवास (LOC)"
"सर्वोच्च अदालतले काठमाडौँमा ऐतिहासिक फैसला सुनायाको छ।
","सर्वोच्च अदालत (ORG), काठमाडौँ (LOC)"
"एमाले अध्यक्ष केपी शर्मा ओलीले झापामा पार्टी सभा सम्बोधन गर्याको  छ।
","केपी शर्मा ओली (PER), झापा (LOC), एमाले (ORG)"
अञ्जन विष्टले नौलो  राष्ट्रिय कीर्तिमान कायम  गर्याको छ।,अञ्जन विष्ट (PER)
"माओवादी केन्द्रले रोल्पामा विशेष कार्यक्रम गर्न्या भयाको छ।
","माओवादी केन्द्र (ORG), रोल्पा (LOC)"
"नेपाल प्रहरीका महानिरीक्षक बसन्त कुँवरले ललितपुरमा निरीक्षण गर्या छ।
","नेपाल प्रहरी (ORG), बसन्त कुँवर (PER), ललितपुर (LOC)"
"त्रिभुवन विश्वविद्यालयले कीर्तिपुरमा दीक्षान्त समारोह सकायाको छ।
","त्रिभुवन विश्वविद्यालय (ORG), कीर्तिपुर (LOC)"
"एशियन डेभलपमेन्ट बैंकले नेपालमा पूर्वाधार परियोजनामा लगानी बढायाको छ।
","एशियन डेभलपमेन्ट बैंक (ORG), नेपाल (LOC)"
"बागमती प्रदेश सरकारले हेटौँडामा बजेट सार्वजनिक गर्याको छ।
","बागमती प्रदेश (LOC), हेटौँडा (LOC)"
"रमेश, तु  आज काठमाडौं जान्या  होइ ?","रमेश (PER), काठमाडौं (LOC)"
"सीता, भोलि पोखरामा भेटुली  हाई ।","सीता(PER), पोखरा(LOC)"
अञ्जलीले दराजबाटी  सामान अर्डर  गर्यो ।,"अञ्जली (PER), दराज (ORG)"
हामी शनिबार ललितपुर घुम्न जान्या हु ।,ललितपुर (LOC)
रोहन अहिल चितवनमा छ भन्यो ।,"रोहन (PER), चितवन (LOC)"
तुइले  नेपाल बैंकमा पैसा जम्मा गरि ?,नेपाल बैंक (ORG)
सन्दीप आज विराटनगरबाट आउदै छ ।,"सन्दीप (PER), विराटनगर (LOC)"
म भोलि त्रिभुवन विश्वविद्यालय जनुपर्न्या  भयो।,त्रिभुवन विश्वविद्यालय (ORG)
प्रिया अहिले भक्तपुरमा बस्ति छ ।,"प्रिया (PER), भक्तपुर(LOC)"
हामी बुद्ध एयरबाट पोखरा जान्या हु ।,"बुद्ध एयर (ORG), पोखरा (LOC)"
अमितले एनसेलको सिम किन्यो ।,"अमित (PER), एनसेल (ORG)"
काठमाडौँमा आज मेला रैछ ।,काठमाडौँ (LOC)
सुमनले सगरमाथा हेर्नु   जान्या  योजना बनायो।,"सुमन (PER), सगरमाथा (LOC)"
तु  पुलिसमा  आवेदन दिनु  लाग्या होइ?,नेपाल प्रहरी (ORG)
आशाले पाटन दरबार स्क्वायर घुमी ।,"आशा (PER), पाटन दरबार स्क्वायर (LOC)"
