sentence_id,text,language,ground_truth,predicted,gt_entities,pred_entities
1,प्रधानमन्त्री केपी शर्मा ओलीले सिंहदरबारमा नयाँ आर्थिक नीति सार्वजनिक गरेका छन्।,Standard Nepali,"{""entities"": [{""text"": ""केपी शर्मा ओली"", ""type"": ""PER""}, {""text"": ""सिंहदरबार"", ""type"": ""LOC""}]}","{""entities"": [{""text"": ""केपी शर्मा ओली"", ""type"": ""PER""}, {""text"": ""सिंहदरबार"", ""type"": ""LOC""}]}","{'entities': [{'text': 'केपी शर्मा ओली', 'type': 'PER'}, {'text': 'सिंहदरबार', 'type': 'LOC'}]}","{'entities': [{'text': 'केपी शर्मा ओली', 'type': 'PER'}, {'text': 'सिंहदरबार', 'type': 'LOC'}]}"
2,नेपाल सरकारले आर्थिक वर्ष २०२६/२७ का लागि बजेट प्रस्तुत गरेको छ।,Standard Nepali,"{""entities"": [{""text"": ""नेपाल"", ""type"": ""LOC""}, {""text"": ""२०२६/२७"", ""type"": ""DATE""}]}","{""entities"": [{""text"": ""नेपाल सरकार"", ""type"": ""ORG""}, {""text"": ""२०२६/२७"", ""type"": ""DATE""}]}","{'entities': [{'text': 'नेपाल', 'type': 'LOC'}, {'text': '२०२६/२७', 'type': 'DATE'}]}","{'entities': [{'text': 'नेपाल सरकार', 'type': 'ORG'}, {'text': '२०२६/२७', 'type': 'DATE'}]}"
3,काठमाडौँ महानगरपालिकाले दरबारमार्ग क्षेत्रमा सडक विस्तार कार्य सुरु गरेको छ।,Standard Nepali,"{""entities"": [{""text"": ""काठमाडौँ महानगरपालिका"", ""type"": ""ORG""}, {""text"": ""दरबारमार्ग"", ""type"": ""LOC""}]}","{""entities"": [{""text"": ""काठमाडौँ महानगरपालिका"", ""type"": ""ORG""}, {""text"": ""दरबारमार्ग"", ""type"": ""LOC""}]}","{'entities': [{'text': 'काठमाडौँ महानगरपालिका', 'type': 'ORG'}, {'text': 'दरबारमार्ग', 'type': 'LOC'}]}","{'entities': [{'text': 'काठमाडौँ महानगरपालिका', 'type': 'ORG'}, {'text': 'दरबारमार्ग', 'type': 'LOC'}]}"
4,नेपाली कांग्रेसले बुटवलमा आयोजना गरेको कार्यक्रममा नयाँ घोषणा पत्र सार्वजनिक गरेको छ।,Standard Nepali,"{""entities"": [{""text"": ""नेपाली कांग्रेस"", ""type"": ""ORG""}, {""text"": ""बुटवल"", ""type"": ""LOC""}]}","{""entities"": [{""text"": ""नेपाली कांग्रेस"", ""type"": ""ORG""}, {""text"": ""बुटवल"", ""type"": ""LOC""}]}","{'entities': [{'text': 'नेपाली कांग्रेस', 'type': 'ORG'}, {'text': 'बुटवल', 'type': 'LOC'}]}","{'entities': [{'text': 'नेपाली कांग्रेस', 'type': 'ORG'}, {'text': 'बुटवल', 'type': 'LOC'}]}"
5,गृहमन्त्री रवि लामिछानेले चितवनमा सुरक्षा अवस्थाबारे निरीक्षण गरेका छन्।,Standard Nepali,"{""entities"": [{""text"": ""रवि लामिछाने"", ""type"": ""PER""}, {""text"": ""चितवन"", ""type"": ""LOC""}]}","{""entities"": [{""text"": ""रवि लामिछाने"", ""type"": ""PER""}, {""text"": ""चितवन"", ""type"": ""LOC""}]}","{'entities': [{'text': 'रवि लामिछाने', 'type': 'PER'}, {'text': 'चितवन', 'type': 'LOC'}]}","{'entities': [{'text': 'रवि लामिछाने', 'type': 'PER'}, {'text': 'चितवन', 'type': 'LOC'}]}"
6,नेकपा (माओवादी) विपक्षी दलले सरकारको निर्णयप्रति आपत्ति जनाएको छ।,Standard Nepali,"{""entities"": [{""text"": ""नेकपा"", ""type"": ""ORG""}]}","{""entities"": [{""text"": ""नेकपा (माओवादी)"", ""type"": ""ORG""}]}","{'entities': [{'text': 'नेकपा', 'type': 'ORG'}]}","{'entities': [{'text': 'नेकपा (माओवादी)', 'type': 'ORG'}]}"
7,"सगरमाथा क्षेत्रमा पर्यटन प्रवर्द्धन गर्न संस्कृति, पर्यटन तथा नागरिक उड्डयन मन्त्रालयले विशेष योजना ल्याएको छ।",Standard Nepali,"{""entities"": [{""text"": ""सगरमाथा"", ""type"": ""LOC""}, {""text"": ""पर्यटन तथा नागरिक उड्डयन मन्त्रालय"", ""type"": ""ORG""}]}","{""entities"": [{""text"": ""सगरमाथा"", ""type"": ""LOC""}, {""text"": ""संस्कृति, पर्यटन तथा नागरिक उड्डयन मन्त्रालय"", ""type"": ""ORG""}]}","{'entities': [{'text': 'सगरमाथा', 'type': 'LOC'}, {'text': 'पर्यटन तथा नागरिक उड्डयन मन्त्रालय', 'type': 'ORG'}]}","{'entities': [{'text': 'सगरमाथा', 'type': 'LOC'}, {'text': 'संस्कृति, पर्यटन तथा नागरिक उड्डयन मन्त्रालय', 'type': 'ORG'}]}"
8,त्रिभुवन अन्तर्राष्ट्रिय विमानस्थलमा हिमालय एयरलाइन्सको जहाज अवतरण गरेको छ।,Standard Nepali,"{""entities"": [{""text"": ""त्रिभुवन अन्तर्राष्ट्रिय विमानस्थल"", ""type"": ""LOC""}, {""text"": ""हिमालय एयरलाइन्स"", ""type"": ""ORG""}]}","{""entities"": [{""text"": ""त्रिभुवन अन्तर्राष्ट्रिय विमानस्थल"", ""type"": ""LOC""}, {""text"": ""हिमालय एयरलाइन्स"", ""type"": ""ORG""}]}","{'entities': [{'text': 'त्रिभुवन अन्तर्राष्ट्रिय विमानस्थल', 'type': 'LOC'}, {'text': 'हिमालय एयरलाइन्स', 'type': 'ORG'}]}","{'entities': [{'text': 'त्रिभुवन अन्तर्राष्ट्रिय विमानस्थल', 'type': 'LOC'}, {'text': 'हिमालय एयरलाइन्स', 'type': 'ORG'}]}"
9,लुम्बिनी प्रदेश सरकारले बर्दियामा स्वास्थ्य शिविर सञ्चालन गरेको छ।,Standard Nepali,"{""entities"": [{""text"": ""लुम्बिनी प्रदेश"", ""type"": ""LOC""}, {""text"": ""बर्दिया"", ""type"": ""LOC""}]}","{""entities"": [{""text"": ""लुम्बिनी प्रदेश"", ""type"": ""ORG""}, {""text"": ""बर्दिया"", ""type"": ""LOC""}]}","{'entities': [{'text': 'लुम्बिनी प्रदेश', 'type': 'LOC'}, {'text': 'बर्दिया', 'type': 'LOC'}]}","{'entities': [{'text': 'लुम्बिनी प्रदेश', 'type': 'ORG'}, {'text': 'बर्दिया', 'type': 'LOC'}]}"
10,नेपाल राष्ट्र बैंकले मौद्रिक नीति २०२६ सार्वजनिक गरेको छ।,Standard Nepali,"{""entities"": [{""text"": ""नेपाल राष्ट्र बैंक"", ""type"": ""ORG""}, {""text"": ""मौद्रिक नीति २०२६"", ""type"": ""MISC""}]}","{""entities"": [{""text"": ""नेपाल राष्ट्र बैंक"", ""type"": ""ORG""}, {""text"": ""२०२६"", ""type"": ""DATE""}]}","{'entities': [{'text': 'नेपाल राष्ट्र बैंक', 'type': 'ORG'}, {'text': 'मौद्रिक नीति २०२६', 'type': 'MISC'}]}","{'entities': [{'text': 'नेपाल राष्ट्र बैंक', 'type': 'ORG'}, {'text': '२०२६', 'type': 'DATE'}]}"
