row_idx,sentence,gold_tags,pred_tags
0,प्रधानमन्त्री केपी शर्मा ओली ले सिंहदरबार मा नयाँ आर्थिक नीति सार्वजनिक गरेका छन् ।,"['NOUN', 'PROPN', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'ADP', 'ADJ', 'ADJ', 'NOUN', 'ADJ', 'VERB', 'AUX', 'PUNCT']","['NOUN', 'PROPN', 'PROPN', 'PROPN', 'AUX', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'VERB', 'AUX', 'PUNCT', 'X']"
1,नेपाल सरकार ले आर्थिक वर्ष २०२६/२७ का लागि बजेट प्रस्तुत गरेको छ ।,"['PROPN', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NUM', 'ADP', 'ADP', 'NOUN', 'VERB', 'VERB', 'AUX', 'PUNCT']","['PROPN', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NUM', 'ADP', 'NOUN', 'VERB', 'AUX', 'AUX', 'PUNCT', 'X']"
2,काठमाडौँ महानगरपालिका ले दरबारमार्ग क्षेत्र मा सडक विस्तार कार्य सुरु गरेको छ ।,"['PROPN', 'NOUN', 'ADP', 'PROPN', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'VERB', 'AUX', 'PUNCT']","['PROPN', 'NOUN', 'ADP', 'PROPN', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'AUX', 'AUX', 'PUNCT']"
3,नेपाली कांग्रेस ले बुटवल मा आयोजना गरेको कार्यक्रम मा नयाँ घोषणा पत्र सार्वजनिक गरेको छ ।,"['ADJ', 'PROPN', 'ADP', 'PROPN', 'ADP', 'NOUN', 'VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'VERB', 'VERB', 'AUX', 'PUNCT']","['ADJ', 'PROPN', 'ADP', 'PROPN', 'ADP', 'NOUN', 'VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'ADJ', 'VERB', 'AUX', 'PUNCT', 'X']"
4,गृहमन्त्री रवि लामिछाने ले चितवन मा सुरक्षा अवस्था बारे निरीक्षण गरेका छन् ।,"['PROPN', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'VERB', 'AUX', 'PUNCT']","['NOUN', 'PROPN', 'PROPN', 'AUX', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'AUX', 'AUX', 'PUNCT']"
5,नेकपा ( माओवादी ) विपक्षी दल ले सरकार को निर्णय प्रति आपत्ति जनाएको छ ।,"['PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'VERB', 'AUX', 'PUNCT']","['PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'NOUN', 'AUX', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'VERB', 'AUX', 'PUNCT', 'X']"
6,सगरमाथा क्षेत्र मा पर्यटन प्रवर्द्धन गर्न संस्कृति पर्यटन तथा नागरिक उड्डयन मन्त्रालय ले विशेष योजना ल्याएको छ ।,"['PROPN', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'VERB', 'AUX', 'PUNCT']","['PROPN', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'NOUN', 'AUX', 'ADJ', 'NOUN', 'VERB', 'AUX', 'PUNCT']"
7,त्रिभुवन अन्तर्राष्ट्रिय विमानस्थल मा हिमालय एयरलाइन्स को जहाज अवतरण गरेको छ ।,"['PROPN', 'ADJ', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'ADP', 'NOUN', 'NOUN', 'VERB', 'AUX', 'PUNCT']","['PROPN', 'ADJ', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'ADP', 'NOUN', 'VERB', 'AUX', 'AUX', 'PUNCT']"
8,लुम्बिनी प्रदेश सरकार ले बर्दिया मा स्वास्थ्य शिविर सञ्चालन गरेको छ ।,"['PROPN', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'AUX', 'PUNCT']","['PROPN', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'ADP', 'NOUN', 'NOUN', 'VERB', 'AUX', 'AUX', 'PUNCT']"
9,पोखरा रंगशाला मा आयोजित साफ महिला च्याम्पियनसिप २०२५ मा भारत ले नेपाल लाई पराजित गरेको छ ।,"['PROPN', 'NOUN', 'ADP', 'VERB', 'PROPN', 'ADJ', 'NOUN', 'NUM', 'ADP', 'PROPN', 'ADP', 'PROPN', 'ADP', 'NOUN', 'VERB', 'AUX', 'PUNCT']","['PROPN', 'NOUN', 'ADP', 'VERB', 'ADJ', 'NOUN', 'NOUN', 'NUM', 'ADP', 'PROPN', 'AUX', 'NOUN', 'ADP', 'VERB', 'AUX', 'PUNCT', 'X']"
